"","rn","Estimate","Est.Error","Q2.5","Q97.5"
"1514","MMTLexus GS:MY2019:MileGrpATC1","-1.24199336356798e-09","4.24560783262615e-07","-8.78245375e-07","8.535756e-07"
"1515","MMTLexus GS:MY2019:MileGrpATC2","-3.46572254541228e-09","3.39394285958538e-07","-7.00080575e-07","6.75569725e-07"
"1516","MMTLexus GS:MY2019:MileGrpATC3","0",".",".","."
"1517","MMTLexus GS:MY2020","0",".",".","."
"1518","MMTLexus GS:MY2020:MileGrpATC1","4.00183219457456e-10","6.04147201015824e-07","-1.237723e-06","1.238337e-06"
"1519","MMTLexus GS:MY2020:MileGrpATC2","1.47939697565351e-09","6.15836236731348e-07","-1.24871475e-06","1.2570845e-06"
"1520","MMTLexus GS:MY2020:MileGrpATC3","0",".",".","."
"1521","MMTLexus GX","-0.000340206198080702","0.0346686055426266","-0.06815794","0.0676282125"
"1522","MMTLexus GX:MY2018","0.000342561845659342","0.0419548721231341","-0.082132035","0.0835363574999999"
"1523","MMTLexus GX:MY2018:MileGrpATC1","5.36998511228042e-07","0.0313538835938846","-0.061112965","0.0622326774999999"
"1524","MMTLexus GX:MY2018:MileGrpATC2","0.0344921356693011","0.0283817243515974","-0.0207327025","0.0902443775"
"1525","MMTLexus GX:MY2018:MileGrpATC3","0",".",".","."
"1526","MMTLexus GX:MY2019","0.000291149769787719","0.040051543394552","-0.077664355","0.0791845174999999"
"1527","MMTLexus GX:MY2019:MileGrpATC1","0.000204686285780702","0.0310565671904579","-0.060929605","0.061627505"
"1528","MMTLexus GX:MY2019:MileGrpATC2","-8.29864340438596e-06","0.0306095135759766","-0.059943475","0.0596607724999999"
"1529","MMTLexus GX:MY2019:MileGrpATC3","0",".",".","."
"1530","MMTLexus GX:MY2020","0",".",".","."
"1531","MMTLexus GX:MY2020:MileGrpATC1","0.000334505814053509","0.0390243286057041","-0.07654511","0.0767121125"
"1532","MMTLexus GX:MY2020:MileGrpATC2","0.000524775608083202","0.0414417941170713","-0.07990058","0.0821752724999999"
"1533","MMTLexus GX:MY2020:MileGrpATC3","0",".",".","."
"1534","MMTLexus IS","9.31623483998245e-10","5.35767815921752e-07","-1.101481e-06","1.137808e-06"
"1535","MMTLexus IS:MY2018","-6.00824746885088e-09","6.93065971425097e-07","-1.4701705e-06","1.42428375e-06"
"1536","MMTLexus IS:MY2018:MileGrpATC1","5.12873328922807e-09","5.06574015332503e-07","-1.0391525e-06","1.0753875e-06"
"1537","MMTLexus IS:MY2018:MileGrpATC2","4.66416843078289e-09","4.9161616461845e-07","-1.0277595e-06","1.02933325e-06"
"1538","MMTLexus IS:MY2018:MileGrpATC3","0",".",".","."
"1539","MMTLexus IS:MY2019","-4.91201689416184e-09","7.65273225662548e-07","-1.61421025e-06","1.5933305e-06"
"1540","MMTLexus IS:MY2019:MileGrpATC1","4.24843468330965e-09","5.83663131304475e-07","-1.226965e-06","1.19034675e-06"
"1541","MMTLexus IS:MY2019:MileGrpATC2","4.34610564758333e-09","6.39380320498128e-07","-1.3323535e-06","1.33130625e-06"
"1542","MMTLexus IS:MY2019:MileGrpATC3","0",".",".","."
"1543","MMTLexus IS:MY2020","0",".",".","."
"1544","MMTLexus IS:MY2020:MileGrpATC2","0",".",".","."
"1545","MMTLexus LS","2.92638430046053e-09","7.92151308591528e-07","-1.59059125e-06","1.57668475e-06"
"1546","MMTLexus LS:MY2018","-5.88190012852631e-09","8.59258888385673e-07","-1.726109e-06","1.72923825e-06"
"1547","MMTLexus LS:MY2018:MileGrpATC1","2.04275454421053e-09","3.68514498173519e-07","-7.35489275e-07","7.62327749999999e-07"
"1548","MMTLexus LS:MY2018:MileGrpATC2","4.79972449970614e-09","3.73911193003795e-07","-7.3560825e-07","7.67234899999999e-07"
"1549","MMTLexus LS:MY2018:MileGrpATC3","0",".",".","."
"1550","MMTLexus LS:MY2019","-7.16801202925439e-09","8.70422568250948e-07","-1.736724e-06","1.74161299999999e-06"
"1551","MMTLexus LS:MY2019:MileGrpATC1","5.83520616082018e-09","4.335766297759e-07","-8.5921195e-07","8.96130274999999e-07"
"1552","MMTLexus LS:MY2019:MileGrpATC2","6.02221615531579e-09","4.47607650868708e-07","-8.9144775e-07","8.96933675e-07"
"1553","MMTLexus LS:MY2019:MileGrpATC3","0",".",".","."
"1554","MMTLexus LS:MY2020","0",".",".","."
"1555","MMTLexus LS:MY2020:MileGrpATC1","-2.78660237014035e-09","8.69242778169568e-07","-1.7366915e-06","1.74908124999999e-06"
"1556","MMTLexus LS:MY2020:MileGrpATC2","-2.75216173690351e-09","9.12829187823611e-07","-1.83911275e-06","1.84168075e-06"
"1557","MMTLexus LS:MY2020:MileGrpATC3","0",".",".","."
"1558","MMTLexus LX","7.22061814359649e-10","2.82764308438197e-07","-5.63348275e-07","5.64551824999999e-07"
"1559","MMTLexus LX:MY2018","-5.25368340552194e-10","3.99278844452224e-07","-7.9545805e-07","8.109797e-07"
"1560","MMTLexus LX:MY2018:MileGrpATC1","-1.68547442802193e-09","4.00081353827894e-07","-8.05871325e-07","7.93846674999998e-07"
"1561","MMTLexus LX:MY2018:MileGrpATC2","7.12466077859649e-10","3.45070208467866e-07","-6.88106325e-07","6.95449349999999e-07"
"1562","MMTLexus LX:MY2018:MileGrpATC3","0",".",".","."
"1563","MMTLexus LX:MY2019","-1.10454291744693e-09","4.93082628546598e-07","-9.84683275e-07","9.93322049999999e-07"
"1564","MMTLexus LX:MY2019:MileGrpATC1","-2.82014796917982e-09","4.59723666010459e-07","-9.27155625e-07","9.16449625e-07"
"1565","MMTLexus LX:MY2019:MileGrpATC2","4.49023877059693e-10","4.54614044553071e-07","-8.994574e-07","9.08455649999999e-07"
"1566","MMTLexus LX:MY2019:MileGrpATC3","0",".",".","."
"1567","MMTLexus LX:MY2020","0",".",".","."
