"","MMT","MY","MY_prob_rate"
"206","Ford Flex","2018",0.0182163742690058
"207","Ford Flex","2019",0.0165350877192982
"208","Ford Focus","2018",0
"209","Ford Fusion/Ford Fusion Hybrid/Mercury Milan","2018",0.00505847953216374
"210","Ford Fusion/Ford Fusion Hybrid/Mercury Milan","2019",0
"211","Ford Fusion/Ford Fusion Hybrid/Mercury Milan","2020",0.00301169590643275
"212","Ford Mustang","2018",0.0568859649122807
"213","Ford Mustang","2019",0.00929824561403509
"214","Ford Mustang","2020",0.00828947368421053
"215","Ford Ranger/Mazda B-Series","2019",0.0135526315789474
"216","Ford Ranger/Mazda B-Series","2020",0.00385964912280702
"217","Ford Taurus/Mercury Sable","2018",0
"218","Ford Taurus/Mercury Sable","2019",0
"219","Genesis G70","2019",0
"220","Genesis G70","2020",0
"221","Genesis G80","2018",0
"222","Genesis G80","2019",0
"223","Genesis G80","2020",0
"224","Genesis G90","2018",0
"225","Genesis G90","2019",0
"226","Genesis G90","2020",0.121469298245614
"227","GMC Acadia/Saturn Outlook","2018",0
"228","GMC Acadia/Saturn Outlook","2019",0
"229","GMC Acadia/Saturn Outlook","2020",0
"230","Honda Accord/Honda Accord Hybrid","2018",0.00596491228070175
"231","Honda Accord/Honda Accord Hybrid","2019",0.00789473684210526
"232","Honda Accord/Honda Accord Hybrid","2020",0.00304093567251462
"233","Honda Civic/Honda Civic Hybrid","2018",0.00261695906432749
"234","Honda Civic/Honda Civic Hybrid","2019",0.00685672514619883
"235","Honda Civic/Honda Civic Hybrid","2020",0.00277777777777778
"236","Honda Clarity","2018",0
"237","Honda Clarity","2019",0
"238","Honda Clarity","2020",0
"239","Honda CR-V","2018",0.00673976608187135
"240","Honda CR-V","2019",0.00192982456140351
"241","Honda CR-V","2020",0.00236842105263158
"242","Honda Fit","2018",0.0181578947368421
"243","Honda Fit","2019",0
"244","Honda Fit","2020",0.0113450292397661
"245","Honda HR-V","2018",0
"246","Honda HR-V","2019",0
"247","Honda HR-V","2020",0
"248","Honda Insight","2019",0.0129239766081871
"249","Honda Insight","2020",0.00279239766081871
"250","Honda Odyssey","2018",0.0108479532163743
"251","Honda Odyssey","2019",0.00713450292397661
"252","Honda Odyssey","2020",0.0100584795321637
"253","Honda Passport","2019",0.0130847953216374
"254","Honda Passport","2020",0.00634502923976608
"255","Honda Pilot","2018",0.00555555555555555
"256","Honda Pilot","2019",0.00451754385964912
"257","Honda Pilot","2020",0.00902046783625731
"258","Honda Ridgeline","2018",0.00608187134502924
"259","Honda Ridgeline","2019",0.016827485380117
"260","Honda Ridgeline","2020",0.0109941520467836
"261","Hyundai Elantra","2018",0.00554093567251462
"262","Hyundai Elantra","2019",0
"263","Hyundai Elantra","2020",0.00181286549707602
"264","Hyundai Elantra GT","2018",0
"265","Hyundai Elantra GT","2019",0
"266","Hyundai Elantra GT","2020",0
"267","Hyundai Ioniq","2018",0.0164912280701754
"268","Hyundai Ioniq","2019",0.010233918128655
"269","Hyundai Ioniq","2020",0.00926900584795322
"270","Hyundai Kona","2018",0
"271","Hyundai Kona","2019",0.00638888888888889
"272","Hyundai Kona","2020",0.00162280701754386
"273","Hyundai Kona Electric","2019",0
"274","Hyundai Kona Electric","2020",0
"275","Hyundai Palisade","2020",0.00388888888888889
"276","Hyundai Santa Fe","2018",0.0177923976608187
"277","Hyundai Santa Fe","2019",0
"278","Hyundai Santa Fe","2020",0.00358187134502924
"279","Hyundai Santa Fe Sport","2018",0
"280","Hyundai Santa Fe XL","2019",0
"281","Hyundai Sonata/Hyundai Sonata Hybrid","2018",0.0135964912280702
"282","Hyundai Sonata/Hyundai Sonata Hybrid","2019",0
"283","Hyundai Sonata/Hyundai Sonata Hybrid","2020",0.0033625730994152
"284","Hyundai Tucson","2018",0
"285","Hyundai Tucson","2019",0
"286","Hyundai Tucson","2020",0.00998538011695906
"287","Infiniti Q50","2018",0
"288","Infiniti Q50","2019",0.0151315789473684
"289","Infiniti Q50","2020",0.00517543859649123
"290","Infiniti Q60","2018",0
"291","Infiniti Q60","2019",0
"292","Infiniti Q60","2020",0
"293","Infiniti QX50","2019",0.0275292397660819
"294","Infiniti QX50","2020",0.0089766081871345
"295","Infiniti QX60","2018",0
"296","Infiniti QX60","2019",0
"297","Infiniti QX60","2020",0
"298","Jaguar F-Pace","2018",0
"299","Jaguar F-Pace","2019",0
"300","Jaguar F-Pace","2020",0
"301","Jeep Cherokee","2018",0.00751461988304094
"302","Jeep Cherokee","2019",0.0117982456140351
"303","Jeep Cherokee","2020",0.00159356725146199
"304","Jeep Compass","2018",0
"305","Jeep Compass","2019",0
"306","Jeep Compass","2020",0
"307","Jeep Gladiator","2020",0
"308","Jeep Grand Cherokee","2018",0.00605263157894737
"309","Jeep Grand Cherokee","2019",0.00340643274853801
"310","Jeep Grand Cherokee","2020",0.00644736842105263
"311","Jeep Renegade","2018",0.0494590643274854
"312","Jeep Renegade","2019",0
"313","Jeep Renegade","2020",0.0175146198830409
"314","Jeep Wrangler","2018",0.0173684210526316
"315","Jeep Wrangler","2019",0.00687134502923977
"316","Jeep Wrangler","2020",0.00214912280701754
"317","Jeep Wrangler JK","2018",0.0110087719298246
"318","Kia Forte","2018",0
"319","Kia Forte","2019",0
"320","Kia Forte","2020",0
"321","Kia Niro","2018",0
"322","Kia Niro","2019",0.00795321637426901
"323","Kia Niro","2020",0.00957602339181286
"324","Kia Niro Electric","2019",0
"325","Kia Niro Electric","2020",0
"326","Kia Optima","2018",0.00701754385964912
"327","Kia Optima","2019",0
"328","Kia Optima","2020",0.00350877192982456
"329","Kia Sedona","2018",0.0220760233918129
"330","Kia Sedona","2019",0
"331","Kia Sedona","2020",0.00741228070175439
"332","Kia Sorento","2018",0.00315789473684211
"333","Kia Sorento","2019",0.00293859649122807
"334","Kia Sorento","2020",0.00323099415204678
"335","Kia Soul","2018",0.00669590643274854
"336","Kia Soul","2019",0
"337","Kia Soul","2020",0.0113304093567251
"338","Kia Sportage","2018",0
