"","rn","Estimate","Est.Error","Q2.5","Q97.5"
"1146","MMTHyundai Elantra GT:MY2019:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"1147","MMTHyundai Elantra GT:MY2019:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"1148","MMTHyundai Elantra GT:MY2019:MileGrpATC3","0",".",".","."
"1149","MMTHyundai Elantra GT:MY2020","0",".",".","."
"1150","MMTHyundai Elantra GT:MY2020:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"1151","MMTHyundai Elantra GT:MY2020:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"1152","MMTHyundai Elantra GT:MY2020:MileGrpATC3","0",".",".","."
"1153","MMTHyundai Ioniq","-6.93315325763509","3.96967882339047","-16.225025","-1.1026925"
"1154","MMTHyundai Ioniq:MY2018","3.42930314474869","4.1117416251953","-3.16168425","12.7873425"
"1155","MMTHyundai Ioniq:MY2018:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"1156","MMTHyundai Ioniq:MY2018:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"1157","MMTHyundai Ioniq:MY2018:MileGrpATC3","0",".",".","."
"1158","MMTHyundai Ioniq:MY2019","-3.36103117690509","5.71108712697448","-15.2385625","7.5552475"
"1159","MMTHyundai Ioniq:MY2019:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"1160","MMTHyundai Ioniq:MY2019:MileGrpATC2","6.06962106337706","5.0858764224147","-1.64939325","17.5404775"
"1161","MMTHyundai Ioniq:MY2019:MileGrpATC3","0",".",".","."
"1162","MMTHyundai Ioniq:MY2020","0",".",".","."
"1163","MMTHyundai Ioniq:MY2020:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"1164","MMTHyundai Ioniq:MY2020:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"1165","MMTHyundai Ioniq:MY2020:MileGrpATC3","0",".",".","."
"1166","MMTHyundai Kona","-10.3446390185088","5.0662008616087","-22.13641","-3.12398900000001"
"1167","MMTHyundai Kona:MY2018","-1e+13","0","-1e+13","-1e+13"
"1168","MMTHyundai Kona:MY2018:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"1169","MMTHyundai Kona:MY2018:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"1170","MMTHyundai Kona:MY2018:MileGrpATC3","0",".",".","."
"1171","MMTHyundai Kona:MY2019","-1.13688275229206","6.2945561567325","-13.9847075","11.45128"
"1172","MMTHyundai Kona:MY2019:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"1173","MMTHyundai Kona:MY2019:MileGrpATC2","6.8296474983807","5.41450728199198","-1.418351","19.054045"
"1174","MMTHyundai Kona:MY2019:MileGrpATC3","0",".",".","."
"1175","MMTHyundai Kona:MY2020","0",".",".","."
"1176","MMTHyundai Kona:MY2020:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"1177","MMTHyundai Kona:MY2020:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"1178","MMTHyundai Kona:MY2020:MileGrpATC3","0",".",".","."
"1179","MMTHyundai Kona Electric","-1e+13","0","-1e+13","-1e+13"
"1180","MMTHyundai Kona Electric:MY2019","-1e+13","0","-1e+13","-1e+13"
"1181","MMTHyundai Kona Electric:MY2019:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"1182","MMTHyundai Kona Electric:MY2019:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"1183","MMTHyundai Kona Electric:MY2019:MileGrpATC3","0",".",".","."
"1184","MMTHyundai Kona Electric:MY2020","0",".",".","."
"1185","MMTHyundai Kona Electric:MY2020:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"1186","MMTHyundai Kona Electric:MY2020:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"1187","MMTHyundai Kona Electric:MY2020:MileGrpATC3","0",".",".","."
"1188","MMTHyundai Palisade","-10.1140528618421","4.06642764280167","-19.895355","-4.56998725"
"1189","MMTHyundai Palisade:MY2020","0",".",".","."
"1190","MMTHyundai Palisade:MY2020:MileGrpATC1","4.94747153325636","4.2222235573027","-1.4853615","14.8879825"
"1191","MMTHyundai Palisade:MY2020:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"1192","MMTHyundai Palisade:MY2020:MileGrpATC3","0",".",".","."
"1193","MMTHyundai Santa Fe","-8.35407523026316","3.12064155007024","-15.8326575","-3.97399025"
"1194","MMTHyundai Santa Fe:MY2018","5.20511966480307","3.20900766512831","0.396667575","12.8359625"
"1195","MMTHyundai Santa Fe:MY2018:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"1196","MMTHyundai Santa Fe:MY2018:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"1197","MMTHyundai Santa Fe:MY2018:MileGrpATC3","0",".",".","."
"1198","MMTHyundai Santa Fe:MY2019","-1e+13","0","-1e+13","-1e+13"
"1199","MMTHyundai Santa Fe:MY2019:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"1200","MMTHyundai Santa Fe:MY2019:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"1201","MMTHyundai Santa Fe:MY2019:MileGrpATC3","0",".",".","."
"1202","MMTHyundai Santa Fe:MY2020","0",".",".","."
"1203","MMTHyundai Santa Fe:MY2020:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"1204","MMTHyundai Santa Fe:MY2020:MileGrpATC2","2.93422470776511","3.34300005069684","-2.439688","10.5481725"
"1205","MMTHyundai Santa Fe:MY2020:MileGrpATC3","0",".",".","."
"1206","MMTHyundai Santa Fe Sport","-1e+13","0","-1e+13","-1e+13"
"1207","MMTHyundai Santa Fe Sport:MY2018","0",".",".","."
"1208","MMTHyundai Santa Fe Sport:MY2018:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"1209","MMTHyundai Santa Fe Sport:MY2018:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
