"","MMT","MY","MileGrpATC","prob"
"166","BMW 5 Series/BMW 5 Series Gran Turismo","2020","2","1.36609727648967e-13"
"167","BMW 5 Series/BMW 5 Series Gran Turismo","2020","3","1.36593358787224e-13"
"168","BMW 7 Series","2018","1","2.85967528593404e-14"
"169","BMW 7 Series","2018","2","2.88541839523153e-14"
"170","BMW 7 Series","2018","3","2.82943583137321e-14"
"171","BMW 7 Series","2019","1","2.78031699550838e-14"
"172","BMW 7 Series","2019","2","2.77034430580524e-14"
"173","BMW 7 Series","2019","3","2.70197565310677e-14"
"174","BMW 7 Series","2020","1","3.10610484292195e-14"
"175","BMW 7 Series","2020","2","2.74009236999017e-14"
"176","BMW 7 Series","2020","3","2.73787005568966e-14"
"177","BMW X1","2018","1","0.0312499999999855"
"178","BMW X1","2018","2","-1.5967912140655e-14"
"179","BMW X1","2018","3","-1.66864165120329e-14"
"180","BMW X1","2019","1","-1.00557053179404e-14"
"181","BMW X1","2019","2","-1.004370387036e-14"
"182","BMW X1","2019","3","-1.0171909671302e-14"
"183","BMW X1","2020","1","-1.02348593776614e-14"
"184","BMW X1","2020","2","-1.0621370018737e-14"
"185","BMW X1","2020","3","-1.04438928381771e-14"
"186","BMW X2","2018","1","-1.35384374408892e-15"
"187","BMW X2","2018","2","-4.84731135003008e-16"
"188","BMW X2","2018","3","-1.81444402287803e-15"
"189","BMW X2","2019","1","3.28908999088822e-15"
"190","BMW X2","2019","2","3.92273419629906e-15"
"191","BMW X2","2019","3","4.68661065148022e-15"
"192","BMW X2","2020","1","6.50536530160061e-15"
"193","BMW X2","2020","2","4.29564618778083e-15"
"194","BMW X3","2018","1","3.39285436955386e-15"
"195","BMW X3","2018","2","3.34198828678433e-15"
"196","BMW X3","2018","3","3.12042540100384e-15"
"197","BMW X3","2019","1","1.86704892109325e-14"
"198","BMW X3","2019","2","0.0115606936416304"
"199","BMW X3","2019","3","6.01133513420534e-15"
"200","BMW X3","2020","1","0.0121951219512334"
"201","BMW X3","2020","2","0.00952380952382356"
"202","BMW X3","2020","3","1.3450124910592e-14"
"203","BMW X5","2018","1","1.40802760225479e-13"
"204","BMW X5","2018","2","1.40666256877584e-13"
"205","BMW X5","2018","3","1.40519540448025e-13"
"206","BMW X5","2019","1","0.0357142857144283"
"207","BMW X5","2019","2","1.35846195403744e-13"
"208","BMW X5","2019","3","0.0227272727274003"
"209","BMW X5","2020","1","1.33094923970845e-13"
"210","BMW X5","2020","2","1.21246762629923e-13"
"211","BMW X5","2020","3","0.0238095238096439"
"212","BMW X7","2019","1","0.166666666666621"
"213","BMW X7","2019","2","-4.38884447464264e-15"
"214","BMW X7","2019","3","-9.37226463878908e-15"
"215","BMW X7","2020","1","-5.04976693701803e-14"
"216","BMW X7","2020","2","-5.38812278011396e-14"
"217","BMW X7","2020","3","-5.38861463251313e-14"
"218","BMW i3","2018","1","-8.53718525533952e-14"
"219","BMW i3","2018","2","-8.51362233608469e-14"
"220","BMW i3","2018","3","-8.5296600230123e-14"
"221","BMW i3","2019","1","-7.96053882886702e-14"
"222","BMW i3","2019","2","-7.93288666833373e-14"
"223","BMW i3","2019","3","-7.92550227147459e-14"
"224","BMW i3","2020","1","0.249999999999938"
"225","BMW i3","2020","2","1.29798722566791e-13"
"226","BMW i3","2020","3","1.29822006993065e-13"
"227","Buick Enclave","2018","1","1.40810973991989e-13"
"228","Buick Enclave","2018","2","1.51198498166139e-13"
"229","Buick Enclave","2018","3","0.0566037735850203"
"230","Buick Enclave","2019","1","1.48720918758121e-13"
"231","Buick Enclave","2019","2","0.0188679245284408"
"232","Buick Enclave","2019","3","1.48559255456929e-13"
"233","Buick Enclave","2020","1","1.47831341883838e-13"
"234","Buick Enclave","2020","2","1.48811862898158e-13"
