"MMT","MY","MileGrpATC","prob_rate"
"Cadillac XT5",2020,2,0.0109614108967984
"Cadillac XT5",2020,3,0.0104387515781583
"Cadillac XTS",2018,1,0.0117963319809796
"Cadillac XTS",2018,2,0.0139791521335542
"Cadillac XTS",2018,3,0.0118416482954628
"Cadillac XTS",2019,1,0.0193616337049994
"Cadillac XTS",2019,2,0.0392228982899068
"Cadillac XTS",2019,3,0.0150101899599596
"Chevrolet Blazer/GMC Jimmy",2019,1,0.0190370757505675
"Chevrolet Blazer/GMC Jimmy",2019,2,0.00828481323487149
"Chevrolet Blazer/GMC Jimmy",2019,3,0.0130018621835705
"Chevrolet Blazer/GMC Jimmy",2020,1,0.0120609784685078
"Chevrolet Blazer/GMC Jimmy",2020,2,0.0268852955603358
"Chevrolet Blazer/GMC Jimmy",2020,3,0.0162834556627181
"Chevrolet Bolt",2018,1,0.00352316291227737
"Chevrolet Bolt",2018,2,0.00411195430012993
"Chevrolet Bolt",2018,3,0.00408270259934515
"Chevrolet Bolt",2019,1,0.00196869191898286
"Chevrolet Bolt",2019,2,0.00835508285734427
"Chevrolet Bolt",2019,3,0.00298359775456102
"Chevrolet Bolt",2020,1,0.00449336379447143
"Chevrolet Bolt",2020,2,0.0045738823465608
"Chevrolet Bolt",2020,3,0.00630557018372013
"Chevrolet Camaro",2018,1,0.0054015211390705
"Chevrolet Camaro",2018,2,0.00799912363851434
"Chevrolet Camaro",2018,3,0.00928398470647939
"Chevrolet Camaro",2019,1,0.00978095079558485
"Chevrolet Camaro",2019,2,0.0109119092948746
"Chevrolet Camaro",2019,3,0.0103335597980879
"Chevrolet Camaro",2020,1,0.0151190476248764
"Chevrolet Camaro",2020,2,0.0130272301471776
"Chevrolet Camaro",2020,3,0.0149993094940263
"Chevrolet Colorado/GMC Canyon",2018,1,0.00228445394646677
"Chevrolet Colorado/GMC Canyon",2018,2,0.00247341203602313
"Chevrolet Colorado/GMC Canyon",2018,3,0.00272174971193904
"Chevrolet Colorado/GMC Canyon",2019,1,0.00310560717353044
"Chevrolet Colorado/GMC Canyon",2019,2,0.00309350369452695
"Chevrolet Colorado/GMC Canyon",2019,3,0.0109572645097079
"Chevrolet Colorado/GMC Canyon",2020,1,0.0147712490897571
"Chevrolet Colorado/GMC Canyon",2020,2,0.00570043814158358
"Chevrolet Colorado/GMC Canyon",2020,3,0.00770352004970634
"Chevrolet Corvette",2018,1,0.00646174307423113
"Chevrolet Corvette",2018,2,0.00971010238224157
"Chevrolet Corvette",2018,3,0.0087043751212094
"Chevrolet Corvette",2019,1,0.00282431021387153
"Chevrolet Corvette",2019,2,0.00484324307384199
"Chevrolet Corvette",2019,3,0.00656407579967644
"Chevrolet Corvette",2020,1,0.0117921189476857
"Chevrolet Corvette",2020,2,0.014718050677553
"Chevrolet Cruze",2018,1,0.0211104421211694
"Chevrolet Cruze",2018,2,0.0217633458343678
